city,type,value,timestamp
skopje,pm10,20,2018-11-21T13:00:00+01:00
skopje,pm10,30,2018-11-22T13:00:00+01:00
skopje,pm10,44,2018-11-23T13:00:00+01:00
skopje,pm10,46,2018-11-24T13:00:00+01:00
skopje,pm10,56,2018-11-25T13:00:00+01:00
skopje,pm10,41,2018-11-26T13:00:00+01:00
skopje,pm10,31,2018-11-27T13:00:00+01:00
skopje,pm10,8,2018-11-28T13:00:00+01:00
skopje,pm10,14,2018-11-29T13:00:00+01:00
skopje,pm10,37,2018-11-30T13:00:00+01:00
skopje,pm10,95,2018-12-01T13:00:00+01:00
skopje,pm10,121,2018-12-02T13:00:00+01:00
skopje,pm10,143,2018-12-03T13:00:00+01:00
skopje,pm10,187,2018-12-04T13:00:00+01:00
skopje,pm10,21,2018-12-05T13:00:00+01:00
skopje,pm10,37,2018-12-06T13:00:00+01:00
skopje,pm10,87,2018-12-07T13:00:00+01:00
skopje,pm10,150,2018-12-08T13:00:00+01:00
skopje,pm10,119,2018-12-09T13:00:00+01:00
skopje,pm10,40,2018-12-10T13:00:00+01:00
skopje,pm10,24,2018-12-11T13:00:00+01:00
skopje,pm10,59,2018-12-12T13:00:00+01:00
skopje,pm10,89,2018-12-13T13:00:00+01:00
skopje,pm10,90,2018-12-14T13:00:00+01:00
skopje,pm10,84,2018-12-15T13:00:00+01:00
skopje,pm10,23,2018-12-16T13:00:00+01:00
skopje,pm10,46,2018-12-17T13:00:00+01:00
skopje,pm10,32,2018-12-18T13:00:00+01:00
skopje,pm10,41,2018-12-19T13:00:00+01:00
skopje,pm10,88,2018-12-20T13:00:00+01:00
skopje,pm10,125,2018-12-21T13:00:00+01:00
skopje,pm10,163,2018-12-22T13:00:00+01:00
skopje,pm10,155,2018-12-23T13:00:00+01:00
skopje,pm10,138,2018-12-24T13:00:00+01:00
skopje,pm10,13,2018-12-25T13:00:00+01:00
skopje,pm10,30,2018-12-26T13:00:00+01:00
skopje,pm10,52,2018-12-27T13:00:00+01:00
skopje,pm10,99,2018-12-28T13:00:00+01:00
skopje,pm10,76,2018-12-29T13:00:00+01:00
skopje,pm10,83,2018-12-30T13:00:00+01:00
skopje,pm25,147,2018-01-01T13:00:00+01:00
skopje,pm25,118,2018-01-02T13:00:00+01:00
skopje,pm25,23,2018-01-03T13:00:00+01:00
skopje,pm25,31,2018-01-04T13:00:00+01:00
skopje,pm25,73,2018-01-05T13:00:00+01:00
skopje,pm25,108,2018-01-06T13:00:00+01:00
skopje,pm25,122,2018-01-07T13:00:00+01:00
skopje,pm25,171,2018-01-08T13:00:00+01:00
skopje,pm25,107,2018-01-09T13:00:00+01:00
skopje,pm25,66,2018-01-10T13:00:00+01:00
skopje,pm25,50,2018-01-11T13:00:00+01:00
skopje,pm25,41,2018-01-12T13:00:00+01:00
skopje,pm25,34,2018-01-13T13:00:00+01:00
skopje,pm25,18,2018-01-14T13:00:00+01:00
skopje,pm25,22,2018-01-15T13:00:00+01:00
skopje,pm25,27,2018-01-16T13:00:00+01:00
skopje,pm25,27,2018-01-17T13:00:00+01:00
skopje,pm25,21,2018-01-18T13:00:00+01:00
skopje,pm25,61,2018-01-19T13:00:00+01:00
skopje,pm25,67,2018-01-20T13:00:00+01:00
skopje,pm25,42,2018-01-21T13:00:00+01:00
skopje,pm25,15,2018-01-22T13:00:00+01:00
skopje,pm25,31,2018-01-23T13:00:00+01:00
skopje,pm25,30,2018-01-24T13:00:00+01:00
skopje,pm25,57,2018-01-25T13:00:00+01:00
skopje,pm25,82,2018-01-26T13:00:00+01:00
skopje,pm25,101,2018-01-27T13:00:00+01:00
skopje,pm25,126,2018-01-28T13:00:00+01:00
skopje,pm25,123,2018-01-29T13:00:00+01:00
skopje,pm25,94,2018-01-30T13:00:00+01:00
skopje,pm25,62,2018-01-31T13:00:00+01:00
skopje,pm25,67,2018-02-01T13:00:00+01:00
skopje,pm25,46,2018-02-02T13:00:00+01:00
skopje,pm25,39,2018-02-03T13:00:00+01:00
skopje,pm25,17,2018-02-04T13:00:00+01:00
skopje,pm25,32,2018-02-05T13:00:00+01:00
skopje,pm25,54,2018-02-06T13:00:00+01:00
skopje,pm25,34,2018-02-07T13:00:00+01:00
skopje,pm25,42,2018-02-08T13:00:00+01:00
skopje,pm25,52,2018-02-09T13:00:00+01:00
skopje,pm25,43,2018-02-10T13:00:00+01:00
skopje,pm25,10,2018-02-11T13:00:00+01:00
skopje,pm25,32,2018-02-12T13:00:00+01:00
skopje,pm25,46,2018-02-13T13:00:00+01:00
skopje,pm25,20,2018-02-14T13:00:00+01:00
skopje,pm25,21,2018-02-15T13:00:00+01:00
skopje,pm25,32,2018-02-16T13:00:00+01:00
skopje,pm25,54,2018-02-17T13:00:00+01:00
skopje,pm25,45,2018-02-18T13:00:00+01:00
skopje,pm25,20,2018-02-19T13:00:00+01:00
skopje,pm25,26,2018-02-20T13:00:00+01:00
skopje,pm25,19,2018-02-21T13:00:00+01:00
skopje,pm25,34,2018-02-22T13:00:00+01:00
skopje,pm25,26,2018-02-23T13:00:00+01:00
skopje,pm25,16,2018-02-24T13:00:00+01:00
skopje,pm25,20,2018-02-25T13:00:00+01:00
skopje,pm25,27,2018-02-26T13:00:00+01:00
skopje,pm25,37,2018-02-27T13:00:00+01:00
skopje,pm25,29,2018-02-28T13:00:00+01:00
skopje,pm25,48,2018-03-01T13:00:00+01:00
skopje,pm25,77,2018-03-02T13:00:00+01:00
skopje,pm25,63,2018-03-03T13:00:00+01:00
skopje,pm25,21,2018-03-04T13:00:00+01:00
skopje,pm25,40,2018-03-05T13:00:00+01:00
skopje,pm25,28,2018-03-06T13:00:00+01:00
skopje,pm25,12,2018-03-07T13:00:00+01:00
skopje,pm25,15,2018-03-08T13:00:00+01:00
skopje,pm25,19,2018-03-09T13:00:00+01:00
skopje,pm25,26,2018-03-10T13:00:00+01:00
skopje,pm25,25,2018-03-11T13:00:00+01:00
skopje,pm25,22,2018-03-12T13:00:00+01:00
skopje,pm25,13,2018-03-13T13:00:00+01:00
skopje,pm25,13,2018-03-14T13:00:00+01:00
skopje,pm25,11,2018-03-15T13:00:00+01:00
skopje,pm25,19,2018-03-16T13:00:00+01:00
skopje,pm25,20,2018-03-17T13:00:00+01:00
skopje,pm25,14,2018-03-18T13:00:00+01:00
skopje,pm25,18,2018-03-19T13:00:00+01:00
skopje,pm25,13,2018-03-20T13:00:00+01:00
skopje,pm25,15,2018-03-21T13:00:00+01:00
skopje,pm25,24,2018-03-22T13:00:00+01:00
skopje,pm25,23,2018-03-23T13:00:00+01:00
skopje,pm25,24,2018-03-24T13:00:00+01:00
skopje,pm25,46,2018-03-25T14:00:00+02:00
skopje,pm25,22,2018-03-26T14:00:00+02:00
skopje,pm25,19,2018-03-27T14:00:00+02:00
skopje,pm25,20,2018-03-28T14:00:00+02:00
skopje,pm25,21,2018-03-29T14:00:00+02:00
skopje,pm25,20,2018-03-30T14:00:00+02:00
skopje,pm25,16,2018-03-31T14:00:00+02:00
skopje,pm25,4,2018-04-01T14:00:00+02:00
skopje,pm25,9,2018-04-02T14:00:00+02:00
skopje,pm25,10,2018-04-03T14:00:00+02:00
skopje,pm25,10,2018-04-04T14:00:00+02:00
skopje,pm25,13,2018-04-05T14:00:00+02:00
skopje,pm25,6,2018-04-06T14:00:00+02:00
skopje,pm25,11,2018-04-07T14:00:00+02:00
skopje,pm25,13,2018-04-08T14:00:00+02:00
skopje,pm25,8,2018-04-09T14:00:00+02:00
